example       N      asserts no-instr list    list-DFA bst     bst-DFA Pt     mask-calls store-calls Pt-opti Pt-DFA mask-calls-DFA store-calls-DFA Pt-opti-DFA St     St-DFA valgrind
bs10000       10000  22      0.01     1.10    0.50     1.14    0.64    1.55   99         16          1.55    0.57   0              1               0.55        1.39   0.61   0.27
bs10000+RTE   10000  41      0.01     1.10    0.51     1.14    0.62    1.59   109        16          1.59    0.53   0              1               0.53        1.39   0.64   0.27
iS10000       10000  5       0.12     2.29    0.12     1.83    0.12    2.89   170000     20000       2.91    0.12   0              0               0.12        2.46   0.12   2.81
iS10000+RTE   10000  24      0.12     3.52    1.27     2.89    1.26    3.99   170000     20000       3.86    1.25   0              0               1.25        3.46   1.30   2.81
mM100*100     10000  0       0.01     2.29    0.73     2.94    1.15    0.14   17000      1000        0.14    0.10   5000           612             0.09        1.07   0.98   0.34
mM100*100+RTE 10000  82      0.01     13.17   10.66    21.92   17.39   2.78   18000      1000        3.00    2.64   5000           612             2.82        75.97  73.62  0.34
mM150*150     22500  0       0.01     13.23   3.96     15.65   6.20    0.54   21000      2000        0.51    0.36   9000           912             0.35        5.86   5.64   0.48
mM150*150+RTE 22500  82      0.01     72.36   58.48    110.70  90.43   10.77  24000      2000        9.01    8.57   9000           912             8.75        403.5  398.6  0.48
mI100*100     10000  2       0.01     22.51   0.10     7.74    0.13    0.09   68000      5000        0.08    0.01   7000           609             0.01        0.19   0.10   0.35
mI100*100+RTE 10000  155     0.01     28.96   4.22     13.67   5.48    0.54   73000      5000        0.55    0.53   7000           611             0.47        26.37  26.16  0.35
mI150*150     22500  2       0.02     130.04  0.34     40.35   0.45    0.28   99000      8000        0.27    0.02   12000          909             0.02        0.68   0.34   0.47
mI150*150+RTE 22500  155     0.02     153.30  21.54    73.55   29.94   2.00   105000     8000        1.90    1.42   12000          911             1.53        146.15 145.80 0.47
qS1000        1000   15      0.01     12.70   2.08     1.76    0.59    0.33   1000000    92000       0.06    0.13   683000         39000           0.02        0.02   0.01   0.27
qS1000+RTE    1000   32      0.01     12.38   2.13     1.64    0.56    0.38   1000000    92000       0.12    0.14   727000         39000           0.04        0.03   0.02   0.27
qS2000        2000   15      0.01     85.99   11.31    8.39    2.78    0.71   3000000    198000      0.14    0.28   1000000        84000           0.05        0.03   0.02   0.27
qS2000+RTE    2000   32      0.01     81.65   11.15    7.72    2.67    1.13   4000000    198000      0.48    0.36   1000000        84000           0.13        0.05   0.02   0.27
bbS10000      10000  4       0.22     13.78   1.02     16.84   1.67    117.47 499000000  49000000    22.36   1.57   30             7               1.54        8.80   1.67   3.36
bbS10000+RTE  10000  16      0.22     23.08   4.64     30.69   7.16    107.05 599000000  49000000    32.58   7.26   29             7               6.90        17.29  7.21   3.36
m30000        30000  2       0.01     412.10  11.38    176.35  11.01   1.11   5000000    420000      0.26    0.30   1000000        60000           0.06        0.08   0.01   0.45
m30000+RTE    30000  49      0.01     451.58  101.33   219.12  94.80   1.15   5000000    420000      0.29    0.47   2000000        130000          0.14        0.10   0.05   0.45
Rbt10000      10000  0       0.01     47.39   0.28     48.44   0.27    0.32   1000000    159000      0.09    0.03   151000         10000           0.01        0.59   0.01   0.51
Rbt10000+RTE  10000  270     0.01     120.02  101.69   165.77  145.20  0.47   1000000    159000      0.30    0.39   979000         119000          0.27        18.82  19.59  0.51
mS1000        1000   7       0.01     6.45    0.34     6.32    0.11    0.32   1000000    95000       0.07    0.06   331000         18000           0.01        0.02   0.01   0.27
mS1000+RTE    1000   45      0.01     6.82    1.35     7.98    0.38    0.34   1000000    95000       0.10    0.13   701000         38000           0.04        0.02   0.01   0.27
mS5000        5000   7       0.01     362.87  11.00    218.01  3.43    2.28   11000000   562000      0.76    0.43   2000000        106000          0.09        0.14   0.03   0.27
mS5000+RTE    5000   45      0.01     371.40  50.94    290.88  10.34   2.46   11000000   562000      0.80    0.83   4000000        218000          0.22        0.16   0.08   0.27
mS10000       10000  7       0.01     3624.01 47.94    1673.0  16.10   6.46   23000000   1000000     2.75    1.00   5000000        223000          0.21        0.31   0.08   0.27
ms10000+RTE   10000  45      0.01     3406.43 257.18   2086.32 46.22   6.30   23000000   1000000     2.66    1.83   9000000        457000          0.51        0.35   0.18   0.27
ms50000       50000  7       0.01     nan     3847.72  nan     1100.93 135.54 146000000  6000000     111.22  6.90   33000000       1000000         1.65        2.08   0.58   0.63
ms50000+RTE   50000  45      0.01     nan     25554.08 nan     2781.90 118.86 145000000  6000000     95.74   11.64  54000000       2000000         3.37        2.18   1.15   0.63
ms100000      100000 7       0.01     nan     nan      nan     nan     631.41 296000000  14000000    559.93  13.55  70000000       2000000         3.35        4.03   1.15   0.27
ms100000+RTE  100000 45      0.01     nan     nan      nan     nan     573.47 308000000  14000000    513.85  25.02  116000000      5000000         7.63        4.68   2.50   0.27
