example       N      asserts no-instr list    list-DFA bst     bst-DFA Pt     mask-calls store-calls Pt-opti Pt-DFA mask-calls-DFA store-calls-DFA Pt-opti-DFA St     St-DFA valgrind
mS1000        1000   7       0.01     6.45    0.34     6.32    0.11    0.32   1000000    95000       0.07    0.06   331000         18000           0.01        0.02   0.01   0.27
mS1000+RTE    1000   45      0.01     6.82    1.35     7.98    0.38    0.34   1000000    95000       0.10    0.13   701000         38000           0.04        0.02   0.01   0.27
mS5000        5000   7       0.01     362.87  11.00    218.01  3.43    2.28   11000000   562000      0.76    0.43   2000000        106000          0.09        0.14   0.03   0.27
mS5000+RTE    5000   45      0.01     371.40  50.94    290.88  10.34   2.46   11000000   562000      0.80    0.83   4000000        218000          0.22        0.16   0.08   0.27
mS10000       10000  7       0.01     3624.01 47.94    1673.0  16.10   6.46   23000000   1000000     2.75    1.00   5000000        223000          0.21        0.31   0.08   0.27
ms10000+RTE   10000  45      0.01     3406.43 257.18   2086.32 46.22   6.30   23000000   1000000     2.66    1.83   9000000        457000          0.51        0.35   0.18   0.27
ms50000       50000  7       0.01     nan     3847.72  nan     1100.93 135.54 146000000  6000000     111.22  6.90   33000000       1000000         1.65        2.08   0.58   0.63
ms50000+RTE   50000  45      0.01     nan     25554.08 nan     2781.90 118.86 145000000  6000000     95.74   11.64  54000000       2000000         3.37        2.18   1.15   0.63
ms100000      100000 7       0.01     nan     nan      nan     nan     631.41 296000000  14000000    559.93  13.55  70000000       2000000         3.35        4.03   1.15   0.27
ms100000+RTE  100000 45      0.01     nan     nan      nan     nan     573.47 308000000  14000000    513.85  25.02  116000000      5000000         7.63        4.68   2.50   0.27
